Item,Category
7-ELEVEN,Food
ACAI,Food
ALI KHAN,Food
BAGUS,Food
BEARDPAPA,Food
BITP,Food
BKK BISTRO AND BAR,Food
CHEERS,Food
CHICKEN,Food
FOREWORD COFFEE,Food
THUS COFFEE,Food
DIAN LAO ER,Food
DIN TAI FUNG,Food
DON DON DONKI,Food
DONUT,Food
DRINKS,Food
DUNKIN' DONUTS,Food
EAT,Food
FAMILY GROCERMART,Food
FJ CSQ - JJ JAPANESE,Food
FOOD,Food
FOUR LEAVES,Food
HEAVENLY WANG,Food
HEAVENLYWANG,Food
KENANGAN COFFEE ,Food
KFC,Food
KOPIFELLAS,Food
KOPITIAM,Food
KOUFU,Food
KURIYA,Food
LIHO,Food
LOBSTER,Food
LONG JOHN SILVER'S,Food
LUMO,Food
MALA TANG,Food
MCDONALD,Food
MISS J,Food
NET*KILLINEY,Food
OLD CHANG KEE,Food
PARIS BAGUETTE,Food
PASTAMANIA,Food
PayNow,Food
PRIME,Food
RED HOUSE,Food
RESTAURANT,Food
RIPOS,Food
RIPOS,Food
SAIZERIYA,Food
SCARLETT,Food
SO PHO,Food
STUFF'D,Food
TAKAGI,Food
TEXAS CHICKEN,Food
TEXAS CHICKEN ,Food
THE ALLEY ,Food
THE EDITOR'S MARKET,Food
TORI-Q,Food
XIN YUAN JI,Food
YA KUN,Food
CATHAY CINEPLEXES,Shopping
COLD STORAGE,Shopping
EZBUY,Shopping
FAIRPRICE,Shopping
FLORIST,Shopping
GOOGLE*YOUTUBE MEMBER,Shopping
HAIR,Shopping
HANDS,Shopping
HM,Shopping
IKEA,Shopping
MINISO,Shopping
MUJI,Shopping
NTUC,Shopping
SHOPEE,Shopping
SUPERGURL,Shopping
TAKASHIMAYA,Shopping
TAOBAO,Shopping
THE PAPER BUNNY,Shopping
WATSONS,Shopping
BLUESG,Transport
BUS,Transport
GOJEK,Transport
GRAB,Transport
MRT,Transport
NETS FLASHPAY TOP-UP,Transport
NETWORK FOR ELECTRONIC TR,Transport
TRANSIT,Transport
MANADR,Medical
APPLE,Bill
SPOTIFY,Bill
PAYLAH,Transfer
Fund Transfer,Transfer
GXS,Transfer
SHAYANN,Transfer
YL,Transfer
FLYSCOOT,Travel
DCOM,Investment
